Gene1	Gene2	Score
YER150W	YJL052W	0.136361
YNR057C	YNR058W	0.136335
YKR069W	YLR092W	0.136287
YDR497C	YEL073C	0.136176
YDR449C	YDR299W	0.136048
YBR208C	YDR040C	0.135748
YIL123W	YFR044C	0.13545
YAR015W	YLR359W	0.135308
YNR058W	YGR065C	0.135151
YDL016C	YNL198C	0.134964
YPR043W	YLL044W	0.134956
YCL042W	YER119C-A	0.134907
YHR007C	YNL111C	0.1347
YGL069C	YPR038W	0.134528
YBR107C	YLR092W	0.134469
YCR082W	tK(CUU)K	0.134397
YMR105W-A	tP(UGG)N1	0.134363
YLR343W	YBR045C	0.134286
YNL097C	YKL032C	0.134011
YGL255W	YOL154W	0.133885
YGL255W	YDR502C	0.133872
YNL251C	YLR348C	0.133656
YNL150W	YDR396W	0.13338
YGL010W	YOL038C-A	0.132932
YGL256W	YBR047W	0.132888
YEL050C	YNL052W	0.132887
YAL053W	YDR351W	0.132851
YLR416C	tV(AAC)K1	0.132828
YLL021W	YEL061C	0.132658
YER159C	YMR294W-A	0.132623
YDR384C	YJR147W	0.132433
YFR034W-A	YOR329W-A	0.132366
YKL096W	YDR342C	0.132284
YKR080W	YOR128C	0.132174
YDR094W	YER006C-A	0.131964
YAR015W	YHR216W	0.131476
YMR137C	YGR017W	0.131452
YDL007W	YER080W	0.131334
YGL168W	YIR017C	0.131283
YPL265W	tA(AGC)P	0.130908
YML027W	snR7-L	0.130899
YBL099W	YAL040C	0.130764
YKR058W	YBR298C	0.130431
YDR112W	YDR111C	0.130309
YGR289C	YDR096W	0.130294
YER037W	YHL045W	0.130195
YPL228W	YMR163C	0.130176
YML087C	YAR030C	0.130017
YKR094C	YKR057W	0.129987
YGL147C	YJL190C	0.129724
YMR095C	YER081W	0.129721
YBL032W	YLR112W	0.129659
YJR121W	YHR051W	0.129557
YHR071C-A	YER119C-A	0.129536
YOR237W	YKR053C	0.129515
YJL056C	YGL257C	0.129486
YMR011W	YKR075C	0.129349
YGR097W	YJL107C	0.129197
YJL009W	YER087C-A	0.129188
YLR063W	YNL162W-A	0.128957
YDL185C-A	YEL033W	0.128919
tK(UUU)P	YKR040C	0.128875
YLR437C	YER035W	0.128822
YKL121W	YOR365C	0.128658
snR10	YDR149C	0.128615
YBR224W	YGR204C-A	0.128485
YPR142C	YKL083W	0.128433
YHL016C	YBR208C	0.128329
YJL157C	YOR313C	0.128105
YBL100W-B	YDR034C-D	0.128073
YDR403W	YOR392W	0.12806
YKL068W-A	YML090W	0.127829
YLR061W	YDR417C	0.127827
YDR299W	YNL299W	0.127646
YGR135W	YDR016C	0.12747
YPL205C	YFL012W-A	0.127425
YLR437C	YLL066W-B	0.127385
YJL211C	YPL171C	0.127345
YGL147C	YPL220W	0.12734
YKL083W	YPR142C	0.126984
YBR051W	tA(AGC)L	0.126749
YMR020W	YLR414C	0.12667
YMR226C	YHR183W	0.126647
YPR057W	YBR002C	0.126492
YHL047C	YHL040C	0.126378
YOR032C	YFL061W	0.126294
YIL120W	YHR139C-A	0.12624
YOR334W	YLR413W	0.126201
YNL160W	YDR077W	0.126177
YEL054C	YLR198C	0.126167
YDL240W	YPL200W	0.126137
YER067C-A	YGL184C	0.126076
YNL071W	YJR105W	0.125982
YJL189W	YDL130W	0.125098
YNL251C	tL(CAA)L	0.124947
YGR182C	YLR294C	0.124774
YBR109W-A	tP(UGG)O3	0.124763
YKL001C	YJR010W	0.124702
YGL168W	YJL015C	0.124686
YER124C	YGL256W	0.124678
YDL101C	YHR148W	0.124666
YGL193C	YOR034C-A	0.12448
YLR120W-A	YLR158C	0.124391
YJR150C	YBL108C-A	0.124366
YLR244C	YNL141W	0.124216
YJL132W	YER026C	0.124203
YOR377W	YIR033W	0.123969
YIR033W	YMR246W	0.123901
YMR071C	YDL059C	0.123879
YAL042W	YPR183W	0.123863
tA(AGC)G	tS(AGA)E	0.123716
YDR263C	YEL007W	0.123564
YGR187C	YNR053C	0.123484
YPR120C	YLR103C	0.123424
YML098W	YPR057W	0.123359
YDL159W-A	RUF21	0.123115
YBR064W	YNL269W	0.122997
YOR120W	YNL014W	0.122975
YNL247W	YPL009C	0.122837
YDR042C	YLL064C	0.122671
YGL168W	tT(CGU)K	0.122649
YBR294W	YCL065W	0.122582
YBR158W	snR39B	0.12257
YMR304C-A	YNL235C	0.122329
YKR004C	YGR164W	0.122312
YPL163C	YKR013W	0.122228
YIL132C	YNL328C	0.122217
