Protein1	Protein2	Score
YDR188W	YJL034W	0.118296
YGR094W	YGR061C	0.118217
YGR094W	YPL160W	0.117912
YGR240C	YHR020W	0.117891
YML008C	YGR175C	0.117879
YLL024C	YML056C	0.117837
YAR015W	YLR153C	0.117808
YNL178W	YLR029C	0.117691
YPL231W	YML008C	0.117422
YPR183W	YNR050C	0.117416
YFL018C	YGR282C	0.117280
YLR406C	YCR004C	0.117189
YLR043C	YIL041W	0.116632
YPR191W	YOR375C	0.116577
YIL078W	YLR175W	0.116183
YER086W	YDL198C	0.115833
YHR029C	YJR025C	0.115667
YDL022W	YER062C	0.115632
YBR127C	YHR174W	0.115090
YER091C	YDL208W	0.114767
YOL154W	YKL120W	0.114586
YLR109W	YNL135C	0.114398
YMR116C	YOL039W	0.114306
YNL112W	YHR027C	0.114027
YMR108W	YJR025C	0.114021
YBR177C	YGR173W	0.113505
YFL045C	YKL035W	0.113486
YLR027C	YOL064C	0.113467
YOL139C	YEL002C	0.113144
YML073C	YBR164C	0.113095
YGL026C	YJR109C	0.113038
YDR172W	YDR238C	0.112954
YDL055C	YDR502C	0.112918
YLL026W	YBR126C	0.112812
YHR200W	YDR453C	0.112785
YPL231W	YGL001C	0.112553
YJR139C	YDR174W	0.112464
YPL028W	YML070W	0.112355
YBR127C	YEL034W	0.112202
YOR323C	YAR015W	0.111828
YML063W	YPL143W	0.111480
YDR023W	YBL092W	0.111163
YNL209W	YDR353W	0.110823
YGR240C	YGR264C	0.110756
YLR075W	YDL075W	0.110539
YPR028W	YDR233C	0.110489
YER025W	YAL038W	0.110429
YOR063W	YGL123W	0.110386
YNL141W	YPR036W	0.110383
YML022W	YKL009W	0.110379
YDL055C	YEL034W	0.110054
YDR064W	YNL069C	0.109998
YER003C	YPL240C	0.109852
YDL198C	YLR058C	0.109325
YFR053C	YOR285W	0.109203
YAL005C	YGL011C	0.109045
YDL124W	YKL006W	0.109026
YFR010W	YHR107C	0.108988
YOL097C	YMR027W	0.108818
YIL041W	YLR043C	0.108773
YLR304C	YER003C	0.108560
YGL009C	YIL053W	0.108552
YLR208W	YOR317W	0.108334
YPL117C	YPL028W	0.108328
YOR369C	YGR253C	0.108127
YMR108W	YEL046C	0.108090
YOR198C	YDL075W	0.107958
YGR034W	YCL011C	0.107480
YMR203W	YNL098C	0.107413
YGR175C	YGL001C	0.107265
YLL018C	YMR038C	0.107232
YER036C	YFL045C	0.107212
YJL111W	YLR044C	0.106919
YIL116W	YNL255C	0.106719
YNL209W	YNL112W	0.106540
YLR109W	YMR099C	0.106470
YDL061C	YDL075W	0.106402
YBR221C	YOR136W	0.105930
YGL253W	YHR174W	0.105819
YGL234W	YLL018C	0.105816
YER055C	YDR341C	0.105753
YJR109C	YGR061C	0.105693
YDR346C	YMR092C	0.105470
YMR260C	YPL106C	0.105441
YGL253W	YLR180W	0.105429
YDL143W	YML085C	0.105179
YLR153C	YDR174W	0.105147
YDL124W	YFR053C	0.105057
YDL007W	YBL092W	0.104790
YDL185W	YMR203W	0.104747
YMR217W	YER156C	0.104654
YPR035W	YJL130C	0.104355
YGR180C	YKL067W	0.104126
YPL225W	YLR043C	0.104100
YCL037C	YBL092W	0.103833
YJR073C	YBR177C	0.103727
YMR205C	YBR011C	0.103443
YKL009W	YGR253C	0.103397
YKL085W	YDL124W	0.103077
YFR004W	YDL075W	0.102888
YLR216C	YKL067W	0.102749
YJR073C	YIL133C	0.102643
YPR183W	YNL135C	0.102586
YNL044W	YOR298C-A	0.102548
YJR139C	YBR196C	0.102468
YOR204W	YLR175W	0.102320
YKL182W	YJL080C	0.102268
YNL007C	YPL154C	0.102260
YBR121C	YMR092C	0.102181
YHL001W	YDR086C	0.101771
YLR175W	YKR001C	0.101501
YBR106W	YJR073C	0.101452
YGR282C	YMR314W	0.101290
YPR191W	YKL085W	0.101130
YJR109C	YGR204W	0.101025
YER120W	YDL160C	0.100876
YDR023W	YLR208W	0.100686
YGR282C	YOR142W	0.100674
YOL154W	YDL055C	0.100519
YOR335C	YPL226W	0.100074
YNL209W	YBR127C	0.100056
YPR183W	YNL067W	0.100043
YBL099W	YGL187C	0.100026
YCL040W	YJL159W	0.099798
YLL026W	YER062C	0.099758
YHR063C	YNL220W	0.098956
YKL085W	YHR193C	0.098753
YDR174W	YJR139C	0.098676
YNL096C	YKL009W	0.098453
YER055C	YEL071W	0.098358
YFR053C	YDL124W	0.098298
YER177W	YDR099W	0.098155
YJL080C	YOR298C-A	0.098041
YMR108W	YDL182W	0.097920
YLR354C	YLR340W	0.097712
YKR048C	YGL105W	0.097686
YIL033C	YAL005C	0.097590
YLR259C	YHR107C	0.097496
YEL071W	YDL066W	0.097178
YHR018C	YBR035C	0.097125
YDR454C	YML022W	0.097096
YGL245W	YDR172W	0.097012
YBR196C	YMR315W	0.096857
YDR158W	YOR184W	0.096794
YBR011C	YPR035W	0.096759
YLR304C	YMR307W	0.096699
YMR116C	YDR502C	0.096417
YHR063C	YLR058C	0.096377
YMR300C	YDR127W	0.096173
YDR174W	YLR153C	0.096154
YOR063W	YPR181C	0.096054
YDL124W	YCL043C	0.095942
YLL018C	YCL009C	0.095914
YFL039C	YGR209C	0.095818
YGL009C	YDL066W	0.095554
YJL034W	YDL007W	0.095467
YER133W	YPL061W	0.095364
YHL021C	YNL055C	0.095266
YOR184W	YDR158W	0.095113
YCL043C	YBR106W	0.094802
YOR224C	YBR196C	0.094655
YLR301W	YFL039C	0.094546
YOR335C	YIL078W	0.094520
YDR453C	YAR007C	0.094380
YPR145W	YOR323C	0.094348
YLL026W	YNL160W	0.094257
YHR183W	YPL131W	0.094157
YOR361C	YIL133C	0.094088
YGR193C	YNL067W	0.093858
YDR155C	YPL225W	0.093814
YDR353W	YDR381W	0.093776
YOR230W	YGR204W	0.093742
YDR454C	YLR180W	0.093711
YML086C	YMR315W	0.093664
YPL106C	YDL051W	0.093420
YDR346C	YDR037W	0.093411
YAR007C	YFR044C	0.093119
YHR193C	YGL120C	0.092907
YLR259C	YOR298C-A	0.092801
YPL131W	YMR217W	0.092764
YML073C	YAL007C	0.092727
YDR502C	YMR116C	0.092594
YLR167W	YDR353W	0.092302
YDR188W	YGL137W	0.092190
YLL018C	YNL067W	0.092155
YLR075W	YGL115W	0.092091
YOR375C	YPL111W	0.092067
YMR217W	YNL096C	0.091301
YNL241C	YOR285W	0.091292
YHR063C	YDR127W	0.091044
YBR127C	YKL181W	0.091024
YDL075W	YDL061C	0.091009
YLR304C	YKL035W	0.090998
YAL005C	YML126C	0.090996
YER036C	YJL014W	0.090817
YAL005C	YDR483W	0.090790
YDL066W	YEL047C	0.090512
YMR217W	YPL131W	0.090502
YLR259C	YPL091W	0.090435
YMR203W	YPL004C	0.090419
YLL050C	YPL262W	0.090307
YGR209C	YMR315W	0.090182
YMR315W	YJL172W	0.089880
YBR106W	YCL043C	0.089766
YGR264C	YHR107C	0.089705
YJR139C	YBR011C	0.089588
YOL064C	YLR027C	0.089375
YDL185W	YMR092C	0.089312
YDR037W	YBR121C	0.089216
YIL133C	YJR073C	0.089001
YFL018C	YGR180C	0.088859
YDR353W	YDR454C	0.088702
YER090W	YER062C	0.088619
YJR014W	YGR193C	0.088517
YLR259C	YER120W	0.088482
YPL262W	YGR209C	0.088419
YOR142W	YKL007W	0.088264
YML085C	YGR234W	0.088044
YNL135C	YKL077W	0.088008
YPL143W	YML063W	0.087949
YNL104C	YNL037C	0.087883
YPR181C	YLR044C	0.087867
YJL034W	YER003C	0.087638
YDR381W	YML028W	0.087487
YNL096C	YFR004W	0.087479
YJL014W	YGL105W	0.087455
YDR155C	YKL117W	0.087399
YKL196C	YIL033C	0.087171
YHR183W	YOR332W	0.087155
YKL067W	YLR216C	0.087087
YNL244C	YBL030C	0.086995
YDR341C	YGL148W	0.086969
YEL047C	YCL009C	0.086850
YNR017W	YBL026W	0.086755
YHR027C	YNL112W	0.086521
YNL112W	YOR310C	0.086512
YER165W	YGR159C	0.086412
YIL133C	YOR234C	0.086362
YHR063C	YML078W	0.086353
YML070W	YMR226C	0.086197
YJL034W	YLR304C	0.086173
YHR027C	YER036C	0.086116
YGL148W	YDR341C	0.086025
YER081W	YIL053W	0.085851
YKR048C	YFL037W	0.085677
YLR354C	YHR163W	0.085452
YMR083W	YEL047C	0.085289
YFR010W	YDL029W	0.085263
YBL024W	YDL229W	0.085224
YOR234C	YIL133C	0.084998
YER062C	YML070W	0.084940
YOR310C	YJL014W	0.084808
YJL034W	YER165W	0.084789
YPL262W	YFL039C	0.084779
YIL051C	YNL055C	0.084749
YDR155C	YGR209C	0.084706
YOR063W	YHR089C	0.084557
YJR121W	YGL187C	0.084525
YIL074C	YJL060W	0.084342
YKL035W	YLR304C	0.084296
YDR502C	YML085C	0.084258
YJR121W	YDR214W	0.083988
YIL118W	YGR173W	0.083828
YPL154C	YMR226C	0.083744
YDR510W	YMR027W	0.083731
YOR063W	YHL015W	0.083684
YNR001C	YDR064W	0.083664
YOR369C	YOR027W	0.083596
YDR346C	YDL029W	0.083588
YMR120C	YGR094W	0.083541
YLR244C	YDR214W	0.083458
YOL154W	YJR025C	0.083317
YKL142W	YDR099W	0.083155
YIL053W	YJL060W	0.083003
YBR035C	YHR063C	0.082849
YDR127W	YPL160W	0.082836
YGR193C	YMR099C	0.082746
YBR035C	YLR058C	0.082738
YJL080C	YLR044C	0.082736
YJL014W	YJL034W	0.082583
YNL178W	YHL015W	0.082544
YDL055C	YER036C	0.082526
YJL138C	YJL177W	0.082484
YMR260C	YKL077W	0.082417
YAL007C	YDR500C	0.082326
YNR043W	YCR088W	0.082197
YLR185W	YDR500C	0.082125
YMR300C	YGL026C	0.082020
YMR314W	YGL011C	0.081996
YDL066W	YOL058W	0.081935
YGL245W	YLR249W	0.081932
YDR099W	YER177W	0.081922
YER069W	YER178W	0.081801
YPL218W	YLL050C	0.081735
YLR259C	YLR344W	0.081685
YLR249W	YGL245W	0.081636
YPR191W	YJR077C	0.081498
YJL052W	YLR300W	0.081493
YHL001W	YDL100C	0.081449
YNL209W	YKL181W	0.081443
YJL034W	YOR232W	0.081413
YPL131W	YLR075W	0.081305
YOL154W	YHL021C	0.081247
YNR043W	YML008C	0.081196
YML063W	YDL124W	0.081108
YBR196C	YDL185W	0.081105
YIL094C	YOR136W	0.081068
YDR368W	YOR232W	0.081039
YCL011C	YCR004C	0.081016
YFL037W	YGL137W	0.081002
YOL097C	YOR042W	0.080552
YOR204W	YPL240C	0.080512
YBR035C	YDL198C	0.080506
YER003C	YLR304C	0.080485
YPL237W	YER120W	0.080331
YBR196C	YMR260C	0.080329
YJR070C	YHR193C	0.080241
YGL009C	YDL131W	0.080163
YLR029C	YHR128W	0.079993
YER043C	YLR150W	0.079869
YEL037C	YEL030W	0.079858
YGR282C	YPL028W	0.079849
YDR346C	YOL097C	0.079604
YJR109C	YGR124W	0.079553
YDR098C	YGL120C	0.079454
YBL099W	YOR374W	0.079434
YKR059W	YJL177W	0.079248
YML070W	YER062C	0.079247
YOR133W	YCR012W	0.079189
YPR183W	YJR139C	0.079145
YPL143W	YJR073C	0.079098
YGR285C	YER165W	0.079097
YEL034W	YBR127C	0.079016
YGL147C	YML056C	0.078952
YNR050C	YGL039W	0.078896
YLR058C	YER086W	0.078750
YFR044C	YCL040W	0.078699
YLL050C	YNL244C	0.078680
YDR381W	YPR069C	0.078657
YJL172W	YLR344W	0.078638
YDR098C	YMR120C	0.078609
YDR429C	YOR332W	0.078569
YLR027C	YDR341C	0.078401
YGR155W	YDR454C	0.078357
YHR020W	YBR011C	0.078264
YAL012W	YJL177W	0.078240
YLR196W	YFR044C	0.078167
YOR361C	YNL069C	0.078074
YOR234C	YGL200C	0.078055
YBL030C	YLR262C-A	0.078000
YJR025C	YDL182W	0.077923
YLL018C	YAR015W	0.077877
YHR107C	YFR010W	0.077679
YNL239W	YPL262W	0.077633
YNL096C	YMR217W	0.077631
YER165W	YGR285C	0.077612
YOR142W	YDR092W	0.077566
YBR263W	YIL033C	0.077520
YBR127C	YPL119C	0.077494
YJR077C	YJR121W	0.077476
YLR340W	YLR354C	0.077414
YHR027C	YER043C	0.077368
YBR196C	YOR335C	0.077297
YHL015W	YAL003W	0.077279
YOR198C	YGL137W	0.077154
YKL120W	YOR323C	0.077124
YDR429C	YEL037C	0.077085
YPR191W	YBL099W	0.077082
YBR248C	YNL037C	0.077041
YDR454C	YML028W	0.076983
